pattern,tag
What are the research areas in the Department of Computer Science?,areas
What areas does the CS department cover?,areas
What are the areas of study in the Computer Science Department?,areas
What research areas are available in the CS department?,areas
Which research areas are available through the Department of Computer Science?,areas
How do I contact the CS Undergraduate Acadamic Advising Office?,contact
How do I contact the Computer Science Advising Office?,contact
How do I contact my advisor?,contact
How do I contact the CS office of advising?,contact
I don't know how to contact my undergraduate advisor.,contact
Can I susbtitute courses in the computer science minor?,course-subs
Can I make a course substitution in the CS minor?,course-subs
Can I take a different course in the computer science minor?,course-subs
Can I change a course requirement in the CS minor?,course-subs
Can I change a course requirement for an elective in the computer science minor?,course-subs
Can I susbtitute courses in the information technology minor?,course-subs
Can I make a course substitution in the IT minor?,course-subs
Can I take a different course in the information technology minor?,course-subs
Can I change a course requirement in the IT minor?,course-subs
Can I change a course requirement for an elective in the information technology minor?,course-subs
How many credit hours is the computer science major?,credit-hours
How many classes make up a CS major?,credit-hours
How many credits do I need to have a computer science major?,credit-hours
What is the number of credit hours in the CS major?,credit-hours
How many courses does it take to get a major in computer science?,credit-hours
How many credit hours is the information technology major?,credit-hours
How many classes make up a IT major?,credit-hours
How many credits do I need to have an information technologymajor?,credit-hours
What is the number of credit hours in the IT major?,credit-hours
How many courses does it take to get a major in information technology?,credit-hours
How many credit hours is the computer science minor?,credit-hours
How many classes make up a CS minor?,credit-hours
How many credits do I need to have a computer science minor?,credit-hours
What is the number of credit hours in the CS minor?,credit-hours
How many courses does it take to get a minor in computer science?,credit-hours
How many credit hours is the information technology minor?,credit-hours
How many classes make up an IT minor?,credit-hours
How many credits do I need to have an information technology minor?,credit-hours
What is the number of credit hours in the IT minor?,credit-hours
How many courses does it take to get a minor in information technology?,credit-hours
How do I transfer credits from another university?,credits
How do I set up my transfer credits?,credits
How do I make my transfer credits count?,credits
Do transfer credits count?,credits
How do I make transfer credits count towards my degree?,credits
Does CHS 1440 count as a science restricted elective in the computer science major?,electives-chs1440
Does the CHS 1440 chemistry course count in the CS major?,electives-chs1441
Does Principles of Chemistry count for the CS major?,electives-chs1442
Does the Principles of Chemistry class meet the computer science major requirements?,electives-chs1443
Can I use the CHS 1440 course to fulfull the CS major requirements?,electives-chs1444
Am I eligible for the Accelerated BS-to-MS-Program?,eligibility
How do I check if I am eligible to sign up for the BS to MS program?,eligibility
What are the eligibility requirements to sign up for the 5 Year Accelerated BS MS program?,eligibility
Can I sign up for the BS-to-MS program?,eligibility
How do I check if I can enroll in the Accelerated BS-to-MS program?,eligibility
Am I eligible to take the CS Foundation Exam?,eligibility
How do I check if I am eligible to take the Computer Science FE exam?,eligibility
What are the eligibility requirements to take the Computer Science Foundation Exam?,eligibility
Can I take CS Foundation Exam?,eligibility
How do I check if I can take the Computer Science Foundation Exam?,eligibility
Am I eligible for a computer science minor?,eligibility
How do I check if I am eligible to have a CS minor?,eligibility
What are the eligibility requirements to take a computer science minor?,eligibility
Can I take a CS minor?,eligibility
How do I check if I can take a computer science minor?,eligibility
Am I eligible for an information technology minor?,eligibility
How do I check if I am eligible to have an IT minor?,eligibility
What are the eligibility requirements to take an information technology minor?,eligibility
Can I take an IT minor?,eligibility
How do I check if I can take an information technology minor?,eligibility
How do I enroll in a graduate course as an undergraduate student?,enroll
How do I get into a grad class?,enroll
I can't sign up for a grad class. How do I enroll?,enroll
How do I sign up for a graduate class as an undergrad?,enroll
How do I get an override into a grad class as an undergrad?,enroll
Can I take a graduate-level course in place of an advanced-level core requirement in the computer science major?,grad-courses
Can I take a CS grad course as an undergrad?,grad-courses
Does a computer science graduate class count for the computer science major?,grad-courses
Do grad classes count as advanced CS electives?,grad-courses
Can I take a graduate-level class instead of a computer science tech elective?,grad-courses
What are the hours for the CS Undergraduate Acadamic Advising Office?,hours
What are the hours of the Computer Science Advising Office?,hours
When does the CS Undergraduate Advising Office open?,hours
When does the CS Undergraduate Advising Office close?,hours
At what time does the CS office of advising open and close?,hours
Is there an in-major GPA for the computer science major?,major-gpa
Does the CS major have a major GPA?,major-gpa
What is my major GPA in computer science?,major-gpa
What is my CS major GPA?,major-gpa
How do I find my computer science in-major GPA?,major-gpa
Is there an in-major GPA for the information technology major?,major-gpa
Does the IT major have a major GPA?,major-gpa
What is my major GPA in information technology?,major-gpa
What is my IT major GPA?,major-gpa
How do I find my information technology in-major GPA?,major-gpa
What majors does the Department of Computer Science offer?,majors
What are the majors in the CS department?,majors
What majors are offered by the Computer Science Department?,majors
What are the majors run by the Computer Science Department?,majors
