pattern,entity
What is the Department of Computer Science?,about
What is the Department of CS?,about
What is the CS Department?,about
What is the Computer Science Department?,about
What is the CS Dept.?,about
What majors does the Department of Computer Science offer?,about
What are the majors in the CS department?,about
What majors are offered by the Computer Science Department?,about
What are the majors run by the Computer Science Department?,about
What majors does the CS department offer?,about
What is the mission of the Department of Computer Science?,about
What is the mission of the CS department?,about
Does the CS department have a mission?,about
What is the Computer Science Department's mission?,about
What is the CS department's main mission?,about
What is the Accelerated BS-to-MS Program?,bs-to-ms
What is the BS-to-MS program?,bs-to-ms
What is the BS-MS program?,bs-to-ms
What is the BS to MS Accelerated Program?,bs-to-ms
What is the 5 Year BS to MS program?,bs-to-ms
How do I sign up for the Accelerated BS-to-MS Program?,bs-to-ms
How do I enroll in the BS-to-MS program?,bs-to-ms
How do I sign up for the BS MS program?,bs-to-ms
How do I get into the 5 Year BS-to-MS accelerated program?,bs-to-ms
How do I sign up for the BS to MS accelerated program?,bs-to-ms
Am I eligible for the Accelerated BS-to-MS-Program?,bs-to-ms
How do I check if I am eligible to sign up for the BS to MS program?,bs-to-ms
What are the eligibility requirements to sign up for the 5 Year Accelerated BS MS program?,bs-to-ms
Can I sign up for the BS-to-MS program?,bs-to-ms
How do I check if I can enroll in the Accelerated BS-to-MS program?,bs-to-ms
How do I fill out the Plan of Study form for the Accelerated BS-to-MS Program?,bs-to-ms
How do I fill out the Plan of Study form for the BS to MS program?,bs-to-ms
Where do I find the BS to MS Plan of Study form?,bs-to-ms
How do I complete the Plan of Study form for the Accelerated BS MS program?,bs-to-ms
How do I complete the BS to MS Plan of Study form?,bs-to-ms
How do I update the Plan of Study form for the Accelerated BS-to-MS Program?,bs-to-ms
How do I update the Plan of Study form for the BS to MS program?,bs-to-ms
Where do I update the BS to MS Plan of Study form?,bs-to-ms
How do I update the Plan of Study form for the Accelerated BS MS program?,bs-to-ms
How do I update the BS to MS Plan of Study form?,bs-to-ms
Which majors are in the Accelerated BS-to-MS Program?,bs-to-ms
What are the available majors in the BS to MS program,bs-to-ms
What majors can I take through the Accelerated BS-MS program?,bs-to-ms
What are the available paths in the 5 year BS to MS program?,bs-to-ms
